id,name,total_population,median_household_income
0,N/A,24819,30438
1,Kashmere Gardens,10055,23102
2,Trinity / Houston Gardens,15789,27789
3,Settegast,2981,28821
4,Denver Harbor / Port Houston,17571,29273
5,South Park,21208,29475
6,Westwood,19530,29527
7,Greater Fifth Ward,19687,30535
8,Clinton Park / Tri-Community,3140,31826
9,East Houston,18580,31826
10,Magnolia Park,16999,32039
11,Gulfgate Riverview / Pine Valley,12723,32595
12,Pleasantville,2860,32899
13,Eastex - Jensen,25724,32923
14,Sharpstown,77220,33086
15,Northside / Northline,59410,33713
16,Greater Greenspoint,41392,33909
17,Greater OST / South Union,19141,34019
18,Hidden Valley,3569,34452
19,Pecan Park,16259,34622
20,Golfcrest / Bellfort / Reveille,51432,34731
21,Lawndale / Wayside,12982,35968
22,Sunnyside,20071,35990
23,East Little York / Homestead,19607,36003
24,Near Northside,27348,36845
25,Harrisburg / Manchester,2926,37359
26,Park Place,9898,37486
27,Fairbanks / Northwest Crossing,18007,38905
28,Second Ward,13139,39146
29,El Dorado / Oates Prairie,3852,39216
30,Acres Home,25828,39269
31,Greater Third Ward,14295,40523
32,Northshore,28790,41497
33,Meadowbrook / Allendale,24134,41732
34,Alief,106657,41833
35,Brays Oaks,64548,42414
36,Langwood,9744,42766
37,Independence Heights,13728,42813
38,Braeburn,18843,42958
39,Greater Inwood,37056,43130
40,Addicks Park Ten,19683,43734
41,Minnetex,6303,45109
42,Edgebrook,23584,45982
43,South Acres / Crestmont Park,19137,46175
44,Astrodome Area,18223,46284
45,Central Southwest,66918,47057
46,"	Greater Eastwood",10776,48426
47,Hunterwood,1951,48670
48,Westchase,29149,48898
49,Greater Hobby,25385,50832
50,South Main,6006,50934
51,IAH Airport,15752,51435
52,Gulfton,41089,52037
53,Spring Branch North,20942,52122
54,Mid-West (formerly Woodlake/Briarmeadow),50017,53102
55,Fort Bend / Houston,33630,53105
56,Spring Branch Central,28080,53651
57,Fondren Gardens,2730,53968
58,South Belt / Ellington,64667,57488
59,Willowbrook,8509,58713
60,Willow Meadows / Willowbend,14014,59659
61,Westbury,20963,62120
62,Central Northwest,41993,62750
63,Macgregor,18459,63188
64,Spring Branch East,26877,65467
65,Carverdale,3903,68107
66,Spring Branch West,31878,71534
67,Downtown,12088,71666
68,Briar Forest,43018,76462
69,Midtown,8597,77261
70,Eldridge / West Oaks,72347,79787
71,Lazybrook / Timbergrove,13099,80032
72,Greater Heights,41362,80048
73,Westbranch,3633,81240
74,Meyerland,21445,81408
75,Medical Center,2717,82230
76,Greater Uptown,50731,83399
77,Clear Lake,62268,84710
78,Neartown / Montrose,31037,85296
79,Fourth Ward,4085,88231
80,Kingwood,62067,92021
81,Braeswood,21835,93748
82,Memorial,47604,94927
83,Lake Houston,22280,95074
84,Afton Oaks / River Oaks,14518,95682
85,Washington Avenue Coalition / Memorial Park,29033,99302
86,Greenway / Upper Kirby,21120,100274
87,Museum Park (formerly Binz),5509,101703
88,University Place,16342,111510
